Name,Port 1,Port 2
Black Cat6 550MHz RJ45 Network Patch Cable (Bootless),Ethernet (RJ-45) port,Ethernet (RJ-45) port
Blue Cat6 Network Patch Cable Bootless 550mhz,Ethernet (RJ-45) port,Ethernet (RJ-45) port
White Cat6 550MHz Network Patch Cable (Bootless) ,Ethernet (RJ-45) port,Ethernet (RJ-45) port
Grey Cat6 550MHz Network Patch Cable (Bootless),Ethernet (RJ-45) port,Ethernet (RJ-45) port
Red Cat6 550MHz Network Patch Cable (Bootless),Ethernet (RJ-45) port,Ethernet (RJ-45) port
Green Cat6 550MHz Network Patch Cable (Bootless),Ethernet (RJ-45) port,Ethernet (RJ-45) port
Violet Cat6 550MHz Network Patch Cable (Bootless),Ethernet (RJ-45) port,Ethernet (RJ-45) port
Orange Cat6 550MHz Network Patch Cable (Bootless),Ethernet (RJ-45) port,Ethernet (RJ-45) port
Cat6 550MHz Network Patch Cable Aqua (Bootless),Ethernet (RJ-45) port,Ethernet (RJ-45) port
Cat6 550MHz Network Patch Cable Brown (Bootless),Ethernet (RJ-45) port,Ethernet (RJ-45) port
Cat6 550MHz RJ45 Network Patch Cable Pink (Bootless),Ethernet (RJ-45) port,Ethernet (RJ-45) port
Cat6 550MHz Network Patch Cable Yellow (Bootless),Ethernet (RJ-45) port,Ethernet (RJ-45) port
Cat6 Ethernet Patch Cable Snagless Boot - Black,Ethernet (RJ-45) port,Ethernet (RJ-45) port
Cat6 Ethernet Patch Cable Snagless Boot - Blue,Ethernet (RJ-45) port,Ethernet (RJ-45) port
Cat6 Ethernet Patch Cable Snagless Boot - Green,Ethernet (RJ-45) port,Ethernet (RJ-45) port
Cat6 Ethernet Patch Cable Snagless Boot - Gray,Ethernet (RJ-45) port,Ethernet (RJ-45) port
Cat6 Ethernet Patch Cable Snagless Boot - Red,Ethernet (RJ-45) port,Ethernet (RJ-45) port
Cat6 Ethernet Patch Cable Snagless Boot - White,Ethernet (RJ-45) port,Ethernet (RJ-45) port
Cat6 Ethernet Patch Cable Snagless Boot - Yellow,Ethernet (RJ-45) port,Ethernet (RJ-45) port
Cat6 Ethernet Patch Cable Snagless Boot - Violet,Ethernet (RJ-45) port,Ethernet (RJ-45) port
Cat6 Ethernet Patch Cable Snagless Boot - Orange,Ethernet (RJ-45) port,Ethernet (RJ-45) port
Cat6 Ethernet Patch Cable - Pink Color - Snagless Boot,Ethernet (RJ-45) port,Ethernet (RJ-45) port
Blue Cat6 Slim Jacket 28awg Network Patch Cable 550MHz,Ethernet (RJ-45) port,Ethernet (RJ-45) port
White Cat6 Slim Jacket 28awg Network Patch Cable 550MHz,Ethernet (RJ-45) port,Ethernet (RJ-45) port
Gray Cat6 Slim Jacket 28awg Network Patch Cable 550MHz,Ethernet (RJ-45) port,Ethernet (RJ-45) port
Black Cat6 Slim Jacket 28awg Network Patch Cable 550MHz,Ethernet (RJ-45) port,Ethernet (RJ-45) port
